budget_year,department,account_type,fund_code,account_category,amount
FY18-19,Aid Assistance,Expense,1G,Aid Assistance,27148603
FY18-19,Aid Assistance,Expense,2S,Aid Assistance,2551355
FY18-19,Aid Payments,Expense,1G,Aid Payments,301452828
FY18-19,Allocated Charges,Expense,2S,Allocated Charges,1502692
FY18-19,Allocated Charges,Expense,7S,Allocated Charges,39301
FY18-19,Business Taxes,Revenue,1G,Business Taxes,750820000
FY18-19,Business Taxes,Revenue,2S,Business Taxes,1900000
FY18-19,Capital Outlay,Expense,1G,Capital Outlay,125572423
FY18-19,Capital Outlay,Expense,2S,Capital Outlay,117783515
FY18-19,Capital Outlay,Expense,3C,Capital Outlay,72081500
FY18-19,Capital Outlay,Expense,5A,Capital Outlay,27395362
FY18-19,Capital Outlay,Expense,5C,Capital Outlay,930144
FY18-19,Capital Outlay,Expense,5H,Capital Outlay,9327088
FY18-19,Capital Outlay,Expense,5L,Capital Outlay,2558826
FY18-19,Capital Outlay,Expense,5M,Capital Outlay,90627754
FY18-19,Capital Outlay,Expense,5N,Capital Outlay,16245921
FY18-19,Capital Outlay,Expense,5P,Capital Outlay,32229172
FY18-19,Capital Outlay,Expense,5T,Capital Outlay,2381032
FY18-19,Capital Outlay,Expense,5W,Capital Outlay,9718758
FY18-19,Capital Outlay,Expense,5X,Capital Outlay,6002000
FY18-19,Capital Outlay,Expense,6I,Capital Outlay,5523413
FY18-19,Capital Outlay,Expense,7E,Capital Outlay,2781550
FY18-19,Capital Outlay,Expense,7P,Capital Outlay,76202
FY18-19,Capital Outlay,Expense,8A,Capital Outlay,21750
FY18-19,Charges for Services,Revenue,1G,Charges for Services,242816988
FY18-19,Charges for Services,Revenue,2S,Charges for Services,112049222
FY18-19,Charges for Services,Revenue,5A,Charges for Services,629375500
FY18-19,Charges for Services,Revenue,5C,Charges for Services,292918590
FY18-19,Charges for Services,Revenue,5H,Charges for Services,732839655
FY18-19,Charges for Services,Revenue,5L,Charges for Services,171896358
FY18-19,Charges for Services,Revenue,5M,Charges for Services,239284508
FY18-19,Charges for Services,Revenue,5N,Charges for Services,22936000
FY18-19,Charges for Services,Revenue,5O,Charges for Services,150000
FY18-19,Charges for Services,Revenue,5P,Charges for Services,22341000
FY18-19,Charges for Services,Revenue,5Q,Charges for Services,40257512
FY18-19,Charges for Services,Revenue,5T,Charges for Services,49754177
FY18-19,Charges for Services,Revenue,5W,Charges for Services,470400986
FY18-19,Charges for Services,Revenue,5X,Charges for Services,5000
FY18-19,Charges for Services,Revenue,6I,Charges for Services,700000
FY18-19,City Grant Programs,Expense,1G,City Grant Programs,329854865
FY18-19,City Grant Programs,Expense,2S,City Grant Programs,327618125
FY18-19,City Grant Programs,Expense,5C,City Grant Programs,250000
FY18-19,City Grant Programs,Expense,5W,City Grant Programs,2356694
FY18-19,City Grant Programs,Expense,7S,City Grant Programs,4055000
FY18-19,Contributions (Ret, HSS, Health Care),Revenue,7P,Contributions (Ret, HSS, Health Care),28950550
FY18-19,Contributions (Ret, HSS, Health Care),Revenue,7R,Contributions (Ret, HSS, Health Care),67121000
FY18-19,Debt Service,Expense,1G,Debt Service,14894495
FY18-19,Debt Service,Expense,2S,Debt Service,4365358
FY18-19,Debt Service,Expense,4D,Debt Service,303185312
