Community Health,1547946103
Community Health|Public Health,1547946103
Community Health|Public Health|Central Administration,140719561
Community Health|Public Health|Central Administration|Facilities Maintenance,45000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget,45000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget|Facilities Maintenance-Budget,45000
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits,5347495
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage,213565
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage|Dental Coverage,213565
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service,1482487
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Dependent Coverage-Miscellaneous,573561
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Health Service-City Match,908926
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits,113541
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Flexible Benefit Package,100981
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Fringe Adjustments-Budget,-40845
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Long Term Disability Insurance,53405
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement,2525717
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retire City Misc,2462305
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retirement Pick Up (Nurses),63412
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security,970812
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security (OASDI & HI),770871
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security - Medicare (HI Only),199941
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance,41373
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance|Unemployment Insurance,41373
Community Health|Public Health|Central Administration|Materials & Supplies,504129
Community Health|Public Health|Central Administration|Materials & Supplies|Materials & Supplies Budget Only,504129
Community Health|Public Health|Central Administration|Materials & Supplies|Materials & Supplies Budget Only|Materials & Supplies-Budget,504129
Community Health|Public Health|Central Administration|Non Personnel Services,116325196
Community Health|Public Health|Central Administration|Non Personnel Services|Employee Expenses,3165
Community Health|Public Health|Central Administration|Non Personnel Services|Employee Expenses|Employee Field Expenses-Budget,3165
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Building & Structures,88359
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Building & Structures|Scavenger Services,88359
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Equipment,1582750
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Equipment|Maint Svcs-Equipment-Budget,1582750
Community Health|Public Health|Central Administration|Non Personnel Services|Membership Fees,12562
Community Health|Public Health|Central Administration|Non Personnel Services|Membership Fees|Membership Fees,12562
Community Health|Public Health|Central Administration|Non Personnel Services|Other Current Expenses,104230911
Community Health|Public Health|Central Administration|Non Personnel Services|Other Current Expenses|Other Current Expenses,476000
Community Health|Public Health|Central Administration|Non Personnel Services|Other Current Expenses|Other Current Expenses - Budget,103754911
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services,10017457
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services|CHN Services,226306
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services|Other Medical Services,417886
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services|Other Professional Services,181000
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services|Professional & Specialized Svcs-Budget,5367058
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services|Systems Consulting Services,3825207
Community Health|Public Health|Central Administration|Non Personnel Services|Rents & Leases-Buildings & Structures,272412
Community Health|Public Health|Central Administration|Non Personnel Services|Rents & Leases-Buildings & Structures|Rents/Leases-Bldgs & Structures-Budget,272412
Community Health|Public Health|Central Administration|Non Personnel Services|Rents & Leases-Equipment,35297
Community Health|Public Health|Central Administration|Non Personnel Services|Rents & Leases-Equipment|Rents & Leases-Equipment-Budget,35297
Community Health|Public Health|Central Administration|Non Personnel Services|Training,72403
Community Health|Public Health|Central Administration|Non Personnel Services|Training|Training - Budget,71403
Community Health|Public Health|Central Administration|Non Personnel Services|Training|Training Costs Paid to Vendors,1000
Community Health|Public Health|Central Administration|Non Personnel Services|Travel,9880
Community Health|Public Health|Central Administration|Non Personnel Services|Travel|Non-Air Travel - Employees,9880
Community Health|Public Health|Central Administration|Overhead,57495
Community Health|Public Health|Central Administration|Overhead|Overhead,57495
Community Health|Public Health|Central Administration|Overhead|Overhead|Department Overhead,57495
Community Health|Public Health|Central Administration|Salaries,13789061
Community Health|Public Health|Central Administration|Salaries|Holiday Pay,24916
Community Health|Public Health|Central Administration|Salaries|Holiday Pay|Holiday Pay - Misc,24916
Community Health|Public Health|Central Administration|Salaries|Overtime,48855
Community Health|Public Health|Central Administration|Salaries|Overtime|Overtime - Misc,48855
Community Health|Public Health|Central Administration|Salaries|Permanent Salaries-Misc,12454429
Community Health|Public Health|Central Administration|Salaries|Permanent Salaries-Misc|Misc-Regular,12454429
Community Health|Public Health|Central Administration|Salaries|Permanent Salaries-Nurses,1165598
Community Health|Public Health|Central Administration|Salaries|Permanent Salaries-Nurses|Nurses-Regular,1165598
Community Health|Public Health|Central Administration|Salaries|Premium Pay,17037
Community Health|Public Health|Central Administration|Salaries|Premium Pay|Premium Pay - Misc,17037
Community Health|Public Health|Central Administration|Salaries|Temp Salaries-Misc,78226
Community Health|Public Health|Central Administration|Salaries|Temp Salaries-Misc|Temp-Regular-Misc,78226
Community Health|Public Health|Central Administration|Services of Other Depts,5177507
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds),5177507
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|EF-PUC-Water Charges,12965
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-CON-Financial Systems,181528
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-CON-Internal Audits,1369529
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Chf-Youth Works,176904
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-City Attorney-Legal Services,127297
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Environment,18529
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-HR-Mgmt Training,1000
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-HR-Workers' Comp Claims,477073
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Human Rights Commission,74623
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-PUC-Light Heat & Power,35594
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Purch-Mail Services,103829
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Real Estate Service,30000
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Risk Management Services (AAO),80000
Community Health|Public Health|Central Administration|Services of Other Depts|Services of Other Depts (AAO Funds)|GF-Sheriff,248534
