Community Health,1875166293
Community Health|Public Health,1875166293
Community Health|Public Health|Central Administration,213437778
Community Health|Public Health|Central Administration|Capital Outlay,400000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements,400000
Community Health|Public Health|Central Administration|Capital Outlay|Bldgs, Structures & Improvements|Bldgs Struct Imprv-T Project-Budget,400000
Community Health|Public Health|Central Administration|Facilities Maintenance,53000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget,53000
Community Health|Public Health|Central Administration|Facilities Maintenance|Facilities Maintenance Projects-Budget|Facilities Maintenance-Budget,53000
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits,7014706
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage,225637
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Dental Coverage|Dental Coverage,225637
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service,1824224
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Dependent Coverage-Miscellaneous,1284586
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Health Service|Health Service-City Match,539638
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits,153725
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Flexible Benefit Package,117111
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Fringe Adjustments-Budget,-9693
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Other Fringe Benefits|Long Term Disability Insurance,46307
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement,3579486
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retire City Misc,3545548
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Retirement|Retirement Pick Up (Nurses),33938
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security,1189047
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security (OASDI & HI),942030
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Social Security|Social Security - Medicare (HI Only),247017
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance,42587
Community Health|Public Health|Central Administration|Mandatory Fringe Benefits|Unemployment Insurance|Unemployment Insurance,42587
Community Health|Public Health|Central Administration|Materials & Supplies,515590
Community Health|Public Health|Central Administration|Materials & Supplies|Materials & Supplies Budget Only,515590
Community Health|Public Health|Central Administration|Materials & Supplies|Materials & Supplies Budget Only|Materials & Supplies-Budget,515590
Community Health|Public Health|Central Administration|Non Personnel Services,182143205
Community Health|Public Health|Central Administration|Non Personnel Services|Employee Expenses,3165
Community Health|Public Health|Central Administration|Non Personnel Services|Employee Expenses|Employee Field Expenses-Budget,3165
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Building & Structures,88359
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Building & Structures|Scavenger Services,88359
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Equipment,1582750
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Equipment|DP/WP Equipment Maint,1446331
Community Health|Public Health|Central Administration|Non Personnel Services|Maintenance Svcs-Equipment|Maint Svcs-Equipment-Budget,136419
Community Health|Public Health|Central Administration|Non Personnel Services|Membership Fees,38887
Community Health|Public Health|Central Administration|Non Personnel Services|Membership Fees|Membership Fees,38887
Community Health|Public Health|Central Administration|Non Personnel Services|Other Current Expenses,280227
Community Health|Public Health|Central Administration|Non Personnel Services|Other Current Expenses|Other Current Expenses,100000
Community Health|Public Health|Central Administration|Non Personnel Services|Other Current Expenses|Other Current Expenses - Budget,180227
Community Health|Public Health|Central Administration|Non Personnel Services|Professional & Specialized Services,11416818
