Community Health,1875166293
Community Health|Public Health,1875166293
Community Health|Public Health|Central Administration,208514468
Community Health|Public Health|Central Administration|Charges for Services,1863735
Community Health|Public Health|Central Administration|Charges for Services|Hospital Service Charges,50000
Community Health|Public Health|Central Administration|Charges for Services|Hospital Service Charges|Medi-Cal,50000
Community Health|Public Health|Central Administration|Charges for Services|Net Patient Revenue,133000
Community Health|Public Health|Central Administration|Charges for Services|Net Patient Revenue|Medical Cannabis Id Card,133000
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues,1309000
Community Health|Public Health|Central Administration|Charges for Services|Outpatient Revenues|Medi-Cal TCM/MAA,1309000
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges,371735
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Birth Certificate Fee,71135
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Death Certificate Fee,184350
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Misc Public Health Revenue,250
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Other Health Fee,98000
Community Health|Public Health|Central Administration|Charges for Services|Public Health Charges|Removal Permit Fee,18000
Community Health|Public Health|Central Administration|Expenditure Recovery,625046
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds,625046
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),433338
Community Health|Public Health|Central Administration|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr ISD (AAO),191708
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal,1480803
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other,1480803
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,385288
Community Health|Public Health|Central Administration|Intergovernmental Revenues-Federal|Federal-Other|Recovery Indirect Grant Costs,1095515
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State,33280000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax,8606000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax|Health/Welfare Sales Tax Allocation,8606000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees,24674000
Community Health|Public Health|Central Administration|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees|Motor Veh Lic Fee-Realignment Fund,24674000
Community Health|Public Health|Central Administration|Operating Transfers In,169967680
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti),169967680
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti)|OTI Fr 5H-General Hospital Fund,169967680
Community Health|Public Health|Central Administration|Other Revenues,1800000
Community Health|Public Health|Central Administration|Other Revenues|Gain/(Loss) On Sales of Fixed Assets,1800000
Community Health|Public Health|Central Administration|Other Revenues|Gain/(Loss) On Sales of Fixed Assets|Gain/Loss-Sale of Building & Structures,1800000
Community Health|Public Health|Central Administration|Rents & Concessions,122250
Community Health|Public Health|Central Administration|Rents & Concessions|Other City Property Rentals,96210
Community Health|Public Health|Central Administration|Rents & Concessions|Other City Property Rentals|Other City Property Rentals,96210
Community Health|Public Health|Central Administration|Rents & Concessions|Parking Garage/Lot Rentals,26040
Community Health|Public Health|Central Administration|Rents & Concessions|Parking Garage/Lot Rentals|Employee Parking,26040
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources,-625046
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-625046
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-625046
Community Health|Public Health|Children's Baseline,0
Community Health|Public Health|Children's Baseline|Expenditure Recovery,13351049
